ParkID,Name,FacilityType,FacilityCount,FacilityURL
164,Hillcrest Park,Swimming Pools,1,http://vancouver.ca/parks-recreation-culture/swimming-pools.aspx
165,Nat Bailey Stadium,Baseball Diamonds,1,
166,Prince Edward Park,Soccer Fields,1,
168,Riley Park,Basketball Courts,1,
171,Kerrisdale Park,Baseball Diamonds,2,
174,Braemar Park,Softball,1,
179,MacLean Park,Field Houses,1,
180,Oppenheimer Park,Picnic Sites,1,http://vancouver.ca/parks-recreation-culture/picnics.aspx
181,Strathcona Park,Field Houses,1,
181,Strathcona Park,Playgrounds,1,http://vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
181,Strathcona Park,Soccer Fields,4,
